"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2020-01-08,"00:12:00","X4","PN",1023
2020-01-08,NA,"X4","PPT",0
2020-01-08,NA,"X4","RS24h",8.9
2020-01-08,NA,"X4","VVM10",0.9
2020-01-08,NA,"X4","DVM10",101
2020-01-08,"13:58:00","X4","VVX10",4.1
2020-01-08,"13:58:00","X4","DVVX10",131
2020-01-08,NA,"X8","TM",10.8
2020-01-08,"12:42:00","X8","TX",17.1
2020-01-08,"01:38:00","X8","TN",6.2
2020-01-08,NA,"X8","HRM",78
2020-01-08,"23:23:00","X8","HRX",95
2020-01-08,"12:43:00","X8","HRN",52
2020-01-08,NA,"X8","PM",1020.2
2020-01-08,"10:06:00","X8","PX",1021.9
2020-01-08,"00:13:00","X8","PN",1017.3
2020-01-08,NA,"X8","PPT",0
2020-01-08,NA,"X8","RS24h",8.6
2020-01-08,NA,"X8","VVM10",1.1
2020-01-08,NA,"X8","DVM10",340
2020-01-08,"11:31:00","X8","VVX10",5.3
2020-01-08,"11:31:00","X8","DVVX10",238
2020-01-09,NA,"D5","TM",9.4
2020-01-09,"14:09:00","D5","TX",13.7
2020-01-09,"19:17:00","D5","TN",7.8
2020-01-09,NA,"D5","HRM",84
2020-01-09,"03:00:00","D5","HRX",93
2020-01-09,"03:52:00","D5","HRN",59
2020-01-09,NA,"D5","PM",977.4
2020-01-09,"00:00:00","D5","PX",980.8
2020-01-09,"23:36:00","D5","PN",974.4
2020-01-09,NA,"D5","PPT",0
2020-01-09,NA,"D5","RS24h",7.6
2020-01-09,NA,"D5","VVM10",3.9
2020-01-09,NA,"D5","DVM10",253
2020-01-09,"23:19:00","D5","VVX10",8.9
2020-01-09,"23:19:00","D5","DVVX10",242
2020-01-09,NA,"X2","TM",9.5
2020-01-09,"13:00:00","X2","TX",14.6
2020-01-09,"07:32:00","X2","TN",4.9
2020-01-09,NA,"X2","HRM",87
2020-01-09,"06:30:00","X2","HRX",100
2020-01-09,"13:03:00","X2","HRN",69
2020-01-09,NA,"X4","TM",11.7
2020-01-09,"13:45:00","X4","TX",14.7
2020-01-09,"07:27:00","X4","TN",8.5
2020-01-09,NA,"X4","HRM",75
2020-01-09,"02:01:00","X4","HRX",86
2020-01-09,"14:39:00","X4","HRN",63
2020-01-09,NA,"X4","PM",1022.5
2020-01-09,"00:00:00","X4","PX",1026
2020-01-09,"23:52:00","X4","PN",1019.4
2020-01-09,NA,"X4","PPT",0
2020-01-09,NA,"X4","RS24h",8.7
2020-01-09,NA,"X4","VVM10",1.5
2020-01-09,NA,"X4","DVM10",243
2020-01-09,"15:26:00","X4","VVX10",7.4
2020-01-09,"15:26:00","X4","DVVX10",240
2020-01-09,NA,"X8","TM",10.4
2020-01-09,"12:54:00","X8","TX",14.8
2020-01-09,"06:18:00","X8","TN",6.8
2020-01-09,NA,"X8","HRM",84
2020-01-09,"07:01:00","X8","HRX",97
2020-01-09,"14:21:00","X8","HRN",67
2020-01-09,NA,"X8","PM",1017
2020-01-09,"00:00:00","X8","PX",1020.3
2020-01-09,"23:36:00","X8","PN",1013.8
2020-01-09,NA,"X8","PPT",0.1
2020-01-09,NA,"X8","RS24h",8.5
2020-01-09,NA,"X8","VVM10",1.6
2020-01-09,NA,"X8","DVM10",264
2020-01-09,"14:47:00","X8","VVX10",7
2020-01-09,"14:47:00","X8","DVVX10",220
2020-01-10,NA,"D5","TM",7.7
2020-01-10,"04:27:00","D5","TX",9.2
2020-01-10,"09:32:00","D5","TN",6.1
2020-01-10,NA,"D5","HRM",86
2020-01-10,"09:00:00","D5","HRX",98
2020-01-10,"21:23:00","D5","HRN",70
2020-01-10,NA,"D5","PM",976.3
2020-01-10,"23:50:00","D5","PX",979.4
2020-01-10,"05:00:00","D5","PN",974.2
2020-01-10,NA,"D5","PPT",17
2020-01-10,NA,"D5","RS24h",2.5
2020-01-10,NA,"D5","VVM10",5.6
2020-01-10,NA,"D5","DVM10",347
2020-01-10,"18:48:00","D5","VVX10",11.6
2020-01-10,"18:48:00","D5","DVVX10",336
2020-01-10,NA,"X2","TM",9.7
2020-01-10,"14:30:00","X2","TX",11.9
2020-01-10,"23:47:00","X2","TN",7.4
2020-01-10,NA,"X2","HRM",88
2020-01-10,"09:08:00","X2","HRX",99
2020-01-10,"14:05:00","X2","HRN",75
2020-01-10,NA,"X4","TM",10.6
2020-01-10,"14:31:00","X4","TX",12.3
2020-01-10,"23:59:00","X4","TN",9.3
2020-01-10,NA,"X4","HRM",77
2020-01-10,"09:00:00","X4","HRX",95
2020-01-10,"15:11:00","X4","HRN",66
2020-01-10,NA,"X4","PM",1021.6
2020-01-10,"23:54:00","X4","PX",1024.8
2020-01-10,"04:33:00","X4","PN",1019.2
2020-01-10,NA,"X4","PPT",13.1
2020-01-10,NA,"X4","RS24h",2.4
2020-01-10,NA,"X4","VVM10",1.5
2020-01-10,NA,"X4","DVM10",10
2020-01-10,"11:49:00","X4","VVX10",6.1
2020-01-10,"11:49:00","X4","DVVX10",303
2020-01-10,NA,"X8","TM",9.3
2020-01-10,"15:04:00","X8","TX",11.2
2020-01-10,"22:27:00","X8","TN",6.3
2020-01-10,NA,"X8","HRM",88
2020-01-10,"09:00:00","X8","HRX",98
2020-01-10,"13:40:00","X8","HRN",75
2020-01-10,NA,"X8","PM",1015.9
2020-01-10,"23:55:00","X8","PX",1019.1
2020-01-10,"04:35:00","X8","PN",1013.5
2020-01-10,NA,"X8","PPT",16.2
2020-01-10,NA,"X8","RS24h",2.4
2020-01-10,NA,"X8","VVM10",1.5
2020-01-10,NA,"X8","DVM10",351
2020-01-10,"11:51:00","X8","VVX10",7.8
2020-01-10,"11:51:00","X8","DVVX10",300
2020-01-11,NA,"D5","TM",5.9
2020-01-11,"14:59:00","D5","TX",8
2020-01-11,"07:01:00","D5","TN",3.2
2020-01-11,NA,"D5","HRM",76
2020-01-11,"01:00:00","D5","HRX",91
2020-01-11,"18:33:00","D5","HRN",55
2020-01-11,NA,"D5","PM",980.1
2020-01-11,"10:39:00","D5","PX",981.5
2020-01-11,"00:53:00","D5","PN",978.9
2020-01-11,NA,"D5","PPT",0
2020-01-11,NA,"D5","RS24h",9.7
2020-01-11,NA,"D5","VVM10",6.4
2020-01-11,NA,"D5","DVM10",335
2020-01-11,"02:59:00","D5","VVX10",12.6
2020-01-11,"02:59:00","D5","DVVX10",315
2020-01-11,NA,"X2","TM",8
2020-01-11,"14:30:00","X2","TX",11.8
2020-01-11,"23:59:00","X2","TN",4.9
2020-01-11,NA,"X2","HRM",77
2020-01-11,"06:37:00","X2","HRX",96
2020-01-11,"14:09:00","X2","HRN",49
2020-01-11,NA,"X4","TM",9.6
2020-01-11,"13:58:00","X4","TX",12.9
2020-01-11,"07:41:00","X4","TN",7.3
2020-01-11,NA,"X4","HRM",62
2020-01-11,"02:00:00","X4","HRX",79
2020-01-11,"14:20:00","X4","HRN",44
2020-01-11,NA,"X4","PM",1025.6
2020-01-11,"10:03:00","X4","PX",1027.4
2020-01-11,"02:02:00","X4","PN",1024.3
2020-01-11,NA,"X4","PPT",0
2020-01-11,NA,"X4","RS24h",9.5
2020-01-11,NA,"X4","VVM10",1.6
2020-01-11,NA,"X4","DVM10",319
2020-01-11,"22:12:00","X4","VVX10",8.1
2020-01-11,"22:12:00","X4","DVVX10",323
2020-01-11,NA,"X8","TM",8.1
2020-01-11,"14:21:00","X8","TX",12.2
2020-01-11,"23:24:00","X8","TN",5.1
2020-01-11,NA,"X8","HRM",71
2020-01-11,"01:46:00","X8","HRX",97
2020-01-11,"19:10:00","X8","HRN",54
2020-01-11,NA,"X8","PM",1020
2020-01-11,"10:32:00","X8","PX",1021.8
2020-01-11,"01:00:00","X8","PN",1018.6
2020-01-11,NA,"X8","PPT",0
2020-01-11,NA,"X8","RS24h",9.4
2020-01-11,NA,"X8","VVM10",2.1
2020-01-11,NA,"X8","DVM10",317
2020-01-11,"03:27:00","X8","VVX10",8.5
2020-01-11,"03:27:00","X8","DVVX10",293
2020-01-12,NA,"D5","TM",8.2
2020-01-12,"14:10:00","D5","TX",13.9
2020-01-12,"03:50:00","D5","TN",5.2
2020-01-12,NA,"D5","HRM",59
2020-01-12,"10:10:00","D5","HRX",78
2020-01-12,"22:41:00","D5","HRN",37
2020-01-12,NA,"D5","PM",979.6
2020-01-12,"10:06:00","D5","PX",981.4
2020-01-12,"23:58:00","D5","PN",977.8
2020-01-12,NA,"D5","PPT",0
2020-01-12,NA,"D5","RS24h",9.9
2020-01-12,NA,"D5","VVM10",5.4
2020-01-12,NA,"D5","DVM10",325
2020-01-12,"23:57:00","D5","VVX10",10.7
2020-01-12,"23:57:00","D5","DVVX10",310
2020-01-12,NA,"X2","TM",7.3
2020-01-12,"13:20:00","X2","TX",13.1
2020-01-12,"05:02:00","X2","TN",3.2
2020-01-12,NA,"X2","HRM",80
2020-01-12,"04:49:00","X2","HRX",96
2020-01-12,"13:00:00","X2","HRN",52
2020-01-12,NA,"X4","TM",9.7
2020-01-12,"13:02:00","X4","TX",14.7
2020-01-12,"03:10:00","X4","TN",6
2020-01-12,NA,"X4","HRM",61
2020-01-12,"04:36:00","X4","HRX",75
2020-01-12,"22:56:00","X4","HRN",43
2020-01-12,NA,"X4","PM",1025.1
2020-01-12,"09:49:00","X4","PX",1027
2020-01-12,"23:58:00","X4","PN",1023.4
2020-01-12,NA,"X4","PPT",0
2020-01-12,NA,"X4","RS24h",9.9
2020-01-12,NA,"X4","VVM10",1.2
2020-01-12,NA,"X4","DVM10",243
2020-01-12,"23:23:00","X4","VVX10",5.7
2020-01-12,"23:23:00","X4","DVVX10",307
2020-01-12,NA,"X8","TM",8.3
2020-01-12,"13:54:00","X8","TX",15
2020-01-12,"02:37:00","X8","TN",3.3
2020-01-12,NA,"X8","HRM",66
2020-01-12,"06:55:00","X8","HRX",87
2020-01-12,"14:25:00","X8","HRN",42
2020-01-12,NA,"X8","PM",1019.5
2020-01-12,"10:00:00","X8","PX",1021.3
